average_gas_to_oil_ratio,basin_ag_flaring_co2_emissions,basin_ag_venting_co2_emissions,facility_id,facility_name,flaring_ch4_emissions,flaring_n2o_emissions,industry_segment,natural_gas_vented_or_flared,number_of_wells_flaring,number_of_wells_venting,reporting_year,sub_basin_identifier,table_desc,table_num,venting_ch4_emissions,volume_of_gas_sent_to_sales,volume_of_oil_produced,wells_two_year_delay
1660.8444860000,1.6970285000,,1011191,CRI 350 SOK Folded Belt,0.0073017000,0.0000032000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,1.0000000000,,2016,"350 - GARVIN, OK (49) - Oil",Associated Gas Venting and Flaring,Table M.1,,9000.0000000000,20.4476400000,No
42419.0366164000,91.0602253000,,1009135,Kaiser-Francis Oil Company 360 Anadarko Basin,0.5879950000,0.0002030000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,1.0000000000,,2023,"360 - ROGER MILLS, OK (129) - Other tight reservoir rock",Associated Gas Venting and Flaring,Table M.1,,450716090.0000000000,10664.0800000000,No
85.0692267000,89.4592900000,,1008545,BCE-Mach III LLC. 350 South Oklahoma,0.4325700000,0E-10,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,1.0000000000,,2019,"350 - JEFFERSON, OK (67) - Other tight reservoir rock",Associated Gas Venting and Flaring,Table M.1,,7672600.0000000000,105936.0752000000,No
10630.2913161000,0E-10,0.4891662000,1002362,"Clayton Williams Energy, Inc. - 220 Gulf Coast Basin",0E-10,0E-10,Onshore petroleum and natural gas production [98.230(a)(2)],Vented,,5.0000000000,2016,"220 - FAYETTE, TX (149) - Oil",Associated Gas Venting and Flaring,Table M.1,0.9007460000,31620000.0000000000,3021.4600000000,No
1314.0000000000,916.9900000000,0E-10,1009830,Northwoods Energy (Basin 515) Powder River Basin,3.4800000000,0.0015000000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,1.0000000000,,2016,"515 - CAMPBELL, WY (5) - Oil",Associated Gas Venting and Flaring,Table M.1,0E-10,281882.0000000000,81475.2600000000,No
3886408.0248186000,709.0789280000,,1011659,Endeavor Energy Resources LP 430 Permian Basin,3.1108960000,0.0012870000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,8.0000000000,,2023,"430 - IRION, TX (235) - Oil",Associated Gas Venting and Flaring,Table M.1,,850483102.3103300000,221.5166802000,No
0E-10,,0E-10,1011659,Endeavor Energy Resources LP 430 Permian Basin,,,Onshore petroleum and natural gas production [98.230(a)(2)],Vented,,0E-10,2021,"430 - LEA, NM (25) - Oil",Associated Gas Venting and Flaring,Table M.1,0E-10,0E-10,0E-10,No
7162.2957285000,375.5381722000,0E-10,1011534,BBOG Gulf Coast Basin #220,1.5715501000,0.0006934000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,4.0000000000,,2016,"220 - LA SALLE, TX (283) - Oil",Associated Gas Venting and Flaring,Table M.1,0E-10,7793796.0051795000,2286.2123181000,No
5469.2867087000,0E-10,0.4000000000,1009830,"Sage Butte PRB Operating, LLC (Basin 515) Powder River Basin",0E-10,0E-10,Onshore petroleum and natural gas production [98.230(a)(2)],Vented,,3.0000000000,2018,"515 - CONVERSE, WY (9) - Oil",Associated Gas Venting and Flaring,Table M.1,7.0900000000,17785000.0000000000,2447.0000000000,No
3757.7234680000,4676.1225940000,0E-10,1011555,"Parsley Energy, Inc. 430 Permian Basin",19.0736118000,0.0081194000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,11.0000000000,,2017,"430 - REAGAN, TX (383) - Oil",Associated Gas Venting and Flaring,Table M.1,0E-10,1358895760.0000000000,477557.5059234000,No
1692.0519920000,30606.7209100000,,1008490,Hess Corporation - 395 - Williston Basin,77.1447886100,0.0421237505,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,134.0000000000,,2020,"395 - DUNN, ND (25) - Oil",Associated Gas Venting and Flaring,Table M.1,,2297760000.0000000000,1559551.9600000000,No
10034725.0000000000,26539.7592965000,,1009720,"SN Operating, LLC 220 Gulf Coast Basin (LA, TX)",120.3471711000,0.0495715000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,40.0000000000,,2015,"220 - MC MULLEN, TX (311) - High permeability gas",Associated Gas Venting and Flaring,Table M.1,,401389000.0000000000,40.0000000000,No
2423.0715000000,225.5735000000,,1008275,XTO Energy Inc 395 Williston,0.5418000000,0.0017000000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,1.0000000000,,2018,"395 - DIVIDE, ND (23) - Oil",Associated Gas Venting and Flaring,Table M.1,,8827866.6000000000,4708.4200000000,No
872.7191596000,6940.5128011000,,1008577,Basin 395 North Dakota - OSP,16.3213448000,0.0105336000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,63.0000000000,,2017,"395 - MOUNTRAIL, ND (61) - Oil",Associated Gas Venting and Flaring,Table M.1,,390999000.0000000000,871965.8900000000,No
1420.4486242000,49447.9917027000,,1009607,"Williston Basin/SOGC, Inc.",177.1103456000,0.0856818000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,20.0000000000,,2022,"395 - DUNN, ND (25) - Oil",Associated Gas Venting and Flaring,Table M.1,,1025675450.0000002000,1169513.8000000000,No
2408.3380052000,1072.9153593000,,1009106,Slawson Exploration - Williston Basin 395,6.5187850000,0.0016988000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,26.0000000000,,2023,"395 - RICHLAND, MT (83) - Oil",Associated Gas Venting and Flaring,Table M.1,,317017000.0000000000,137347.0000000000,No
3839.6075806000,1241.1000000000,,1008066,"Jordan Development Company, LLC",6.1100000000,0.0030000000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,2.0000000000,,2019,"305 - MANISTEE, MI (101) - Oil",Associated Gas Venting and Flaring,Table M.1,,0E-10,6497.0000000000,No
26346.1434471000,2274.9323841000,,1008806,SandRidge 360 Anadarko Basin,10.7836178000,0.0048016000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,1.0000000000,,2015,"360 - FORD, KS (57) - Oil",Associated Gas Venting and Flaring,Table M.1,,0E-10,1475.7117729000,No
5244.5984000000,2290.3000000000,,1009390,XTO Energy Inc 430 Permian,11.3900000000,0.0040000000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,17.0000000000,,2021,"430 - REAGAN, TX (383) - Oil",Associated Gas Venting and Flaring,Table M.1,,3712016974.5000000000,714745.8100000000,No
1.0000000000,,0E-10,1009848,GeoSouthern Energy Corporation,,,Onshore petroleum and natural gas production [98.230(a)(2)],Vented,,1.0000000000,2020,"220 - AUSTIN, TX (15) - Oil",Associated Gas Venting and Flaring,Table M.1,0E-10,0E-10,8.6000000000,No
777.2074457000,1260.9740948000,,1011689,"Goodrich Petroleum Company, Basin 210 (Mid-Gulf Coast Basin)",3.4709079000,0.0018533000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,3.0000000000,,2020,"210 - AMITE, MS (5) - Oil",Associated Gas Venting and Flaring,Table M.1,,0E-10,17900.5413379000,No
1919.6320965000,7714.0191836000,,1010190,"Williston Basin (Petro-Hunt, LLC)",23.8427866000,0.0107154000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,6.0000000000,,2015,"395 - DIVIDE, ND (23) - Oil",Associated Gas Venting and Flaring,Table M.1,,224526610.0000000000,207776.4400000000,No
0E-10,,0E-10,1008066,"Jordan Development Company, LLC",,,Onshore petroleum and natural gas production [98.230(a)(2)],Vented,,1.0000000000,2020,"305 - MANISTEE, MI (101) - Oil",Associated Gas Venting and Flaring,Table M.1,0E-10,0E-10,2861.0000000000,No
22.0000000000,,0.6521000000,1012945,Basin 220 - Extex Operating Company,,,Onshore petroleum and natural gas production [98.230(a)(2)],Vented,,38.0000000000,2019,"220 - JEFFERSON, LA (51) - Oil",Associated Gas Venting and Flaring,Table M.1,2.6897000000,2246750.0000000000,102125.0000000000,No
0.8430000000,,0E-10,1002362,"Clayton Williams Energy, Inc. - 220 Gulf Coast Basin",,,Onshore petroleum and natural gas production [98.230(a)(2)],Vented,,5.0000000000,2015,"220 - MC MULLEN, TX (311) - Oil",Associated Gas Venting and Flaring,Table M.1,0E-10,5383.0000000000,6537.0000000000,No
0E-10,,0E-10,1011659,Endeavor Energy Resources LP 430 Permian Basin,,,Onshore petroleum and natural gas production [98.230(a)(2)],Vented,,0E-10,2021,"430 - KENT, TX (263) - Oil",Associated Gas Venting and Flaring,Table M.1,0E-10,0E-10,1005.1704000000,No
53043.8122745000,1437.8641500000,,1008700,COTERRA ENERGY - 430 - PERMIAN BASIN,6.7743800000,0.0024200000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,4.0000000000,,2019,"430 - EDDY, NM (15) - High permeability gas",Associated Gas Venting and Flaring,Table M.1,,1362570583.3000000000,26086.3996000000,No
2133.0000000000,0E-10,0E-10,1008066,"Jordan Development Company, LLC",0E-10,0E-10,Onshore petroleum and natural gas production [98.230(a)(2)],Vented,,1.0000000000,2017,"305 - CALHOUN, MI (25) - Oil",Associated Gas Venting and Flaring,Table M.1,0E-10,10187208.0000000000,4776.0000000000,No
1362.8370737000,16106.8938652000,0E-10,1009607,"Williston Basin/SOGC, Inc.",56.6359991000,0.0265757000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,15.0000000000,,2017,"395 - MC KENZIE, ND (53) - Oil",Associated Gas Venting and Flaring,Table M.1,0E-10,85673300.0000000000,162368.7206250000,No
2446.8853708000,106032.6578706000,,1014678,Neptune Operating LLC,169.6938573000,0.1871655000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,280.0000000000,,2023,"395 - WILLIAMS, ND (105) - Oil",Associated Gas Venting and Flaring,Table M.1,,13929431000.0000000000,9750452.0000000000,No
3709.5500000000,29409.7000000000,,1008331,Ovintiv USA Inc - Permian Basin,106.3000000000,0.0490000000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,213.0000000000,,2020,"430 - HOWARD, TX (227) - Oil",Associated Gas Venting and Flaring,Table M.1,,0E-10,107220.2700000000,No
1130.5998704000,71.6989864000,0E-10,1009607,"Williston Basin/SOGC, Inc.",0.2242840000,0.0001112000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,2.0000000000,,2018,"395 - RICHLAND, MT (83) - Oil",Associated Gas Venting and Flaring,Table M.1,0E-10,11480700.0000000000,10598.5633333000,No
150.0000000000,2255.9677222000,0E-10,1012873,"Lonestar Resources 220 Gulf Coast Basin (LA, TX)",8.3857069000,0.0038663000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,20.0000000000,,2018,"220 - DIMMIT, TX (127) - Oil",Associated Gas Venting and Flaring,Table M.1,0E-10,0E-10,237196.7300000000,No
6680.1000000000,6005.2000000000,0E-10,1008290,430 Permian Basin DEC,22.7000000000,0E-10,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,43.0000000000,,2016,"430 - WINKLER, TX (495) - Oil",Associated Gas Venting and Flaring,Table M.1,0E-10,0E-10,12786.5000000000,No
400355.2739000000,0E-10,0E-10,1009390,XTO Energy Inc 430 Permian,0E-10,0E-10,Onshore petroleum and natural gas production [98.230(a)(2)],Vented,0E-10,3.0000000000,2023,"430 - UPTON, TX (461) - High permeability gas",Associated Gas Venting and Flaring,Table M.1,0.0300000000,25738789.8000000000,64.3000000000,No
9897.5500000000,763.1400000000,0E-10,1008702,COTERRA ENERGY - 360 - ANADARKO BASIN,4.7180000000,0.0010000000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,2.0000000000,,2018,"360 - ROGER MILLS, OK (129) - Other tight reservoir rock",Associated Gas Venting and Flaring,Table M.1,0E-10,0E-10,1363.9740000000,No
2283.1968571000,8929.1760280000,,1009126,Impact E&P Powder River Basin Operations,272.6173296000,0.0188804000,Onshore petroleum and natural gas production [98.230(a)(2)],Flared,42.0000000000,,2022,"515 - CONVERSE, WY (9) - Oil",Associated Gas Venting and Flaring,Table M.1,,3113533.3600000000,77216.5049025000,No
