ch4_emissions,co2_emissions,facility_id,facility_name,n2o_emissions,reporting_year,quantity_of_fuel_combusted,unit_of_measure,fuel_combusted_type,combustion_unit_type
1.05,55690.8,1013288,XCL - Uinta Basin,0.105,2023,1022984.4,1000SCF,natural_gas_nonPQ,COMB_engine>1MMBTU/hr
1.11,27327.7,1011803,Apache Corporation + 430 + Permian Basin,0.222,2016,357.9273482,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.01,297.5,1009339,Unit Petroleum 285 Permian Basin,0.001,2018,5458,1000SCF,field_process_gas,COMB_compressor-driver
1.09,26953.3,1007479,ConocoPhillips Permian (430),0.219,2017,353.0233439,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.12,6361.3,1008206,Crestone Peak - Denver Basin,0.012,2018,116850.421,1000SCF,natural_gas_PQ,COMB_engine>1MMBTU/hr
2.32,57191.1,1009170,260 East Texas Basin - BP America Production Company,0.464,2019,749.0672963,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.08,4009.5,1013734,Tap Rock Operating,0.008,2018,73649.7,1000SCF,natural_gas_PQ,COMB_compressor-driver
0.08,4219,1012988,"PennEnergy Resources, LLC - Basin 160A - Appalachian Eastern Overthrust",0.008,2023,77500,1000SCF,natural_gas_PQ,COMB_engine>1MMBTU/hr
0.49,11965.5,1014889,ASEO Eagleford Production Operations,0.097,2023,156.7190345,1000SCF,diesel,COMB_engine>1MMBTU/hr
45.43,53475.9,1008351,"EOG Resources, Inc. 430 Permian basin",0.089,2019,676094.229,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
0.52,27404.6,1013034,SEP East Texas Basin 260 Production,0.052,2019,503395,1000SCF,natural_gas_PQ,COMB_boiler>5MMBTU/hr
1.31,911.5,1009389,UGC 575 Uintah,0.002,2017,15240.13,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
0.00E+00,0.00E+00,1008534,Eni US Operating Co. Inc. - Nikaitchuq & Oooguruk Development,0.00E+00,2023,0,1000SCF,diesel,COMB_boiler>5MMBTU/hr
11.77,8956.6,1011535,Grizzly Piceance Basin (595),0.017,2018,144231.9365,1000SCF,field_process_gas,COMB_compressor-driver
0.38,20088,1011804,CalNRG- Lynch Canyon Field,0.038,2023,367954,1000SCF,natural_gas_PQ,COMB_boiler>5MMBTU/hr
0.01,121.5,1007485,"ConocoPhillips Gulf Coast Basin 220, Production",0.001,2022,2.839508681,1000SCF,propane,COMB_engine>1MMBTU/hr
0.08,4305.8,1010718,Antero Resources - 160 - Appalachian Basin (Utica),0.049,2023,79094.03,1000SCF,natural_gas_PQ,COMB_engine>1MMBTU/hr
294.6,301564.3,1011659,Endeavor Energy Resources LP 430 Permian Basin,0.514,2021,4160664,1000SCF,field_process_gas,COMB_compressor-driver
7.00E-02,1503.9,1009056,Vital Energy Production,0.014,2023,35.13940479,1000SCF,propane,COMB_engine>1MMBTU/hr
17.57,17532,1010718,Antero Resources - 160 - Appalachian Basin (Utica),0.032,2015,240732.3214,1000SCF,field_process_gas,COMB_compressor-driver
17.93,16856.1,1013089,LOLA Energy PetroCo,0.031,2022,247750.547,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
3.03,4262.8,1008980,"EOG Resources, Inc. 395 Williston basin",0.008,2021,51968.85,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
1.27,723.6,1013918,Mallard Exploration LLC,0.002,2020,19926.63,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
7.96,7935.2,1011393,Ascent Resources - Utica (160),0.014,2017,110141.0989,1000SCF,field_process_gas,COMB_compressor-driver
1.22,64857.1,1010505,Bowline Energy LLC,0.122,2016,1191360,1000SCF,natural_gas_nonPQ,COMB_engine>1MMBTU/hr
0.04,1947.7,1008348,Trendwell Energy Corporation,0.004,2017,34237,1000SCF,natural_gas_nonPQ,COMB_compressor-driver
0.04,1044.9,1008755,Foundation Energy Management 540 DJ Basin,0.008,2021,13.68047283,1000SCF,diesel,COMB_engine>1MMBTU/hr
10.56,12692.4,1008794,Great Western Oil & Gas Company - D-J Basin,0.02,2015,158612.7853,1000SCF,field_process_gas,COMB_compressor-driver
1.34E+01,12085.6,1008411,JMA Energy 360,0.022,2019,177544.1111,1000SCF,field_process_gas,COMB_compressor-driver
1.00E-02,188.8,1010372,BATTALION OIL CORP,0.002,2019,2.473090279,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.01,445.1,1012893,BlueCrest Alaska - 820 Cook Inlet Basin,0.00E+00,2023,8003,1000SCF,natural_gas_PQ,COMB_boiler>5MMBTU/hr
0.59,31450.9,1011531,WildFire Energy Operating LLC,0.059,2023,435697.2,1000SCF,field_process_gas,COMB_compressor-driver
0.45,252.4,1012569,515 Powder River Basin,0.001,2019,7862.67,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
1.4,1355.9,1009260,Ovintiv USA Inc. 360.Anadarko Basin,0.002,2022,19129.02,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
0.21,10817.2,1013241,Chisholm Energy 430 Permian Basin,0.021,2020,198700.88,1000SCF,field_process_gas,COMB_compressor-driver
177.15,134099.4,1012378,SPR San Joaquin Basin,0.236,2017,2234920,1000SCF,field_process_gas,COMB_boiler>5MMBTU/hr
0.00E+00,72.4,1009691,430 Permian Basin QEP Energy Company,0.001,2016,1.692395834,1000SCF,propane,COMB_boiler>5MMBTU/hr
0.01,496.9,1008885,"Tellus Operating Group, LLC - MS Operations",0.001,2021,9127.26,1000SCF,natural_gas_PQ,COMB_engine>1MMBTU/hr
32.73,43570.9,1008396,"EOG Resources, Inc. 515 Powder River basin",0.067,2019,538877.3134,1000SCF,field_process_gas,COMB_compressor-driver
2.77,68347.6,1008630,"BPX Energy Petrohawk Gulf Coast Basin, AAPG Basin 220",0.554,2016,895.1903139,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.38,21934.1,1003056,"Bridge Energy, LLC - Brea Stearns Facility",0.038,2023,395847.7348,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
0.00E+00,643,1010784,"Burnett Oil Co., Inc. 430 Permian Basin",0.00E+00,2019,8.421875003,1000SCF,diesel,COMB_engine>1MMBTU/hr
12.69,13035.7,1009624,SM Energy (Basin 220) South Texas,0.022,2022,175147.545,1000SCF,field_process_gas,COMB_compressor-driver
3.22,79296.9,1009260,Ovintiv USA Inc. 360.Anadarko Basin,0.643,2015,1038.60033,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.01,209.8,1008598,"Duncan Oil Properties, Inc. 360 Anadarko Basin",0.002,2020,2.747402779,1000SCF,diesel,COMB_engine>1MMBTU/hr
2.45,33809.2,1008090,"Validus Energy Aquilas AssetCo, LLC",0.266,2018,426.7746722,1000SCF,diesel,COMB_engine>1MMBTU/hr
4.85,119531.7,1013222,"Noble Energy, Inc. - Permian Basin 430",0.97,2018,1565.578804,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.01,411.2,1013044,PetroBal Omega 1 L.L.C.,0.008,2017,7554,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
0.00E+00,96.6,1011318,Peak Powder River Resources,0.001,2020,1.264618056,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.16,3825.9,1014839,Avant Natural Resources,0.031,2022,50.10988891,1000SCF,diesel,COMB_engine>1MMBTU/hr
2.35,57879.2,1013038,Marathon Oil Permian (AAPG Basin Number 430),0.469,2020,758.0867487,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.01,505.5,1013325,Magnolia O&G Corp 220 Gulf Coast Basin,0.001,2022,7333.89,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
0.28,14937.7,1009720,"SN Operating, LLC 220 Gulf Coast Basin (LA, TX)",0.028,2016,300324.569,1000SCF,field_process_gas,COMB_compressor-driver
0.45,23931.7,1009350,Javelin Energy Partners Managment Uinta Basin,0.045,2022,439600.6207,1000SCF,natural_gas_PQ,COMB_engine>1MMBTU/hr
0.29,507.2,1009106,Slawson Exploration - Williston Basin 395,0.001,2021,5675.2,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
1.65,40763.2,1008173,Marathon Oil Company - Williston Basin (AAPG Basin 395),0.33,2021,533.9055064,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.52,12714.3,1010002,Murex Petroleum Corporation - Williston Basin 395,0.103,2023,166.5274923,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.00E+00,62.5,1010932,E&B Natural Resources,0.001,2018,0.818485938,1000SCF,diesel,COMB_engine>1MMBTU/hr
252.93,148846.3,1009666,"Enervest Operating, L.L.C. 415 Strawn Basin",0.345,2023,2796078.51,1000SCF,field_process_gas,COMB_compressor-driver
