ch4_emissions,co2_emissions,facility_id,facility_name,n2o_emissions,reporting_year,quantity_of_fuel_combusted,unit_of_measure,fuel_combusted_type,combustion_unit_type
0.01,282.6,1009890,"Comstock Oil & Gas-LA, LLC",0.001,2023,5191.11,1000SCF,natural_gas_PQ,COMB_compressor-driver
39.38,35005,1010485,"Sanguine Gas Exploration, LLC 360 Anadarko Basin Production",0.063,2021,524610,1000SCF,field_process_gas,COMB_compressor-driver
3.40E-01,18122,1009281,395 Williston Basin QEP Energy Company,0.034,2018,332883,1000SCF,natural_gas_nonPQ,COMB_compressor-driver
0.79,19514.4,1009691,430 Permian Basin QEP Energy Company,0.158,2016,255.5916077,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.34,8271.8,1013948,Teal Natural Resources 220 Gulf Coast Basin,0.067,2018,108.3407379,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.00E+00,0.00E+00,1010397,Riviera Resources 535 Green River Basin Production Segment,0.00E+00,2016,0,1000SCF,natural_gas_nonPQ,COMB_engine>1MMBTU/hr
0.61,15130.2,1008702,COTERRA ENERGY - 360 - ANADARKO BASIN,0.123,2021,198.1689379,1000SCF,diesel,COMB_engine>1MMBTU/hr
6.48,3711.1,1010621,TGNR East Texas Basin,0.009,2020,70382.9,1000SCF,field_process_gas,COMB_compressor-driver
1.8,95317,1014504,CrownQuest Operating - Basin 430,0.18,2021,1750877.778,1000SCF,field_process_gas,COMB_compressor-driver
0.00E+00,0.5,1011662,Slant Operating LLC,0.00E+00,2021,0.006684028,1000SCF,diesel,COMB_engine>1MMBTU/hr
1.57,38627.9,1008456,"Approach Operating, LLC 430 Permian Basin",0.313,2015,505.9332458,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.00E+00,21.1,1011782,"Hilcorp Alaska, LLC 890 Arctic Slope Basin",0.00E+00,2023,0.276554323,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.00E+00,1328.6,1008544,Cimarex Energy Co. 430 Permian,0.00E+00,2016,24405,1000SCF,natural_gas_nonPQ,COMB_engine>1MMBTU/hr
0.52,337.9,1008078,XTO Energy Inc 507 Central Western Overthrust,0.001,2017,5904.35,1000SCF,field_process_gas,COMB_compressor-driver
0.01,604.7,1013044,PetroBal Omega 1 L.L.C.,0.011,2017,11109,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
1.52,37546.8,1013214,SEP Fort Worth Syncline 420 Production,0.305,2019,491.7732286,1000SCF,diesel,COMB_compressor-driver
0.04,980.7,1008700,COTERRA ENERGY - 430 - PERMIAN BASIN,0.008,2020,12.84536459,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.56,29728.9,1006750,TRC cYPRESS gROUP LLC,0.056,2017,543657.9,1000SCF,natural_gas_nonPQ,COMB_boiler>5MMBTU/hr
2.21E+02,152857,1011450,Jonah Energy LLC_AAPG 535_Green River Basin,0.305,2019,2560819,1000SCF,field_process_gas,COMB_compressor-driver
6.00E-01,14675.1,1009115,Ovintiv USA Inc. 355.Chautauqua Platform,0.119,2020,192.2087502,1000SCF,diesel,COMB_engine>1MMBTU/hr
3.89,95950.9,1008503,Coterra Energy 160A Appalachian (EOA),0.778,2022,1256.727962,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.41,21584.6,1010738,"Cat Canyon Resources, LLC 750 Santa Maria Basin",0.041,2023,394250,1000SCF,natural_gas_PQ,COMB_boiler>5MMBTU/hr
4.16E+00,220751.6,1010707,"Grade 6 Oil, LLC",0.416,2019,3991504.15,1000SCF,natural_gas_PQ,COMB_boiler>5MMBTU/hr
0.07,1750.8,1009706,"SilverBow Resources, LLC - Basin 220",0.014,2016,22.93076042,1000SCF,diesel,COMB_engine>1MMBTU/hr
2.89E+00,153187.7,1012068,Matador Production Company - Permian Basin,0.289,2018,2810549,1000SCF,field_process_gas,COMB_compressor-driver
5.29,280725.1,1008526,"Chesapeake Operating LLC, 220 - Gulf Coast Basin",0.529,2018,5156637.176,1000SCF,natural_gas_PQ,COMB_engine>1MMBTU/hr
2.20E+01,8228.6,1009386,XTO Energy Inc 220 Gulf Coast,0.015,2019,128494.0581,1000SCF,field_process_gas,COMB_compressor-driver
0.77,862,1008202,Denver Basin - AAPG Province 540,0.001,2021,11464.58,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
0.06,99.8,1011923,White Rock Oil & Gas LLC - 395 Williston,0.00E+00,2017,1145.76,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
149.19,97471.2,1009584,Sabine Oil & Gas Corporation - 260 - East Texas Basin,0.216,2018,1746087,1000SCF,field_process_gas,COMB_compressor-driver
0.00E+00,4.00E-01,1008402,California Resources Production Corporation  San Joaquin Valley Basin 745,0.00E+00,2022,0.006015625,1000SCF,gasoline,COMB_engine>1MMBTU/hr
0.00E+00,13.7,1007475,ConocoPhillips Anadarko (360),0.00E+00,2015,0.320833333,1000SCF,propane,COMB_engine>1MMBTU/hr
6.46,3707.3,1009511,"Alta Mesa Services, LP",0.011,2017,89503.62,1000SCF,field_process_gas,COMB_compressor-driver
0.04,1068.8,1011752,SK Plymouth LLC Anadarko Basin,0.009,2016,13.99902778,1000SCF,diesel,COMB_engine>1MMBTU/hr
1.52E+00,1692.1,1008167,Berry Petroleum Company - Uinta Basin 575,0.003,2017,22222.14,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
0.00E+00,200.8,1009907,"Comstock Oil & Gas, LLC",0.00E+00,2023,3689.36,1000SCF,natural_gas_PQ,COMB_compressor-driver
0.00E+00,22.5,1012048,Missouri River Resources Williston Basin 395,0.00E+00,2016,0.294097222,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.19,4643.1,1011847,GulfTex Gulf Coast Basin #220,0.038,2020,60.81328995,1000SCF,diesel,COMB_engine>1MMBTU/hr
1.75E+01,17959.2,1008351,"EOG Resources, Inc. 430 Permian basin",0.03,2018,246564.0077,1000SCF,field_process_gas,COMB_compressor-driver
0.55,13506.8,1008616,XTO Energy Inc 350 South Oklahoma Folded Belt,0.11,2019,176.9068442,1000SCF,diesel,COMB_engine>1MMBTU/hr
1.80E-01,4553.5,1014504,CrownQuest Operating - Basin 430,0.037,2023,59.64064412,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.08,70.6,1009238,220 Gulf Coast Basin DEC,0.00E+00,2020,1042.52,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
0.01,621.8,1011534,BBOG Gulf Coast Basin #220,0.001,2015,11422.26,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
0.00E+00,223.1,1008958,"EXCO Resources, Inc. - East Texas Basin #260",0.00E+00,2020,4098.25,1000SCF,natural_gas_PQ,COMB_compressor-driver
0.08,3982.9,1011995,Hilcorp Appalachian Basin (Eastern Overthrust Area),0.008,2018,73160.98,1000SCF,field_process_gas,COMB_compressor-driver
1.83,44660.1,1013135,"Eclipse Resources 1, LP - 160A Basin Production",0.366,2018,586.3614169,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.57,13990.8,1012556,FDL Energy LLC,0.114,2017,183.2461374,1000SCF,diesel,COMB_engine>1MMBTU/hr
6.38,10798,1010621,TGNR East Texas Basin,0.009,2018,70692.96,1000SCF,field_process_gas,COMB_compressor-driver
0.00E+00,4.7,1008134,Ovintiv USA Inc. 350.South Oklahoma Folded Belt,0.00E+00,2018,0.062161458,1000SCF,diesel,COMB_boiler>5MMBTU/hr
2.21,1928,1011454,Ascent Resources - Utica (160a),0.004,2015,28818,1000SCF,field_process_gas,COMB_compressor-driver
6.88,3941.2,1011688,Equinor USA Onshore Properties - APB Basin 160A,0.01,2018,73704.2,1000SCF,field_process_gas,COMB_compressor-driver
0.00E+00,73.3,1010738,"Cat Canyon Resources, LLC 750 Santa Maria Basin",0.00E+00,2022,1331.2,1000SCF,natural_gas_PQ,COMB_boiler>5MMBTU/hr
0.15,7822.9,1009595,Enerplus Resources (USA) Corporation - Williston Basin,0.015,2022,143698.6761,1000SCF,natural_gas_nonPQ,COMB_engine>1MMBTU/hr
0.00E+00,85.2,1008943,Denbury Onshore LLC 230 Arkla,0.00E+00,2017,1.115644445,1000SCF,diesel,COMB_compressor-driver
0.05,1307.9,1014326,DGOC 360 Anadarko Production,0.011,2022,17.12982639,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.17,8918.3,1013699,"Sabinal Energy Operating, LLC - Permian Basin",0.02,2022,163821,1000SCF,natural_gas_PQ,COMB_compressor-driver
11.39,8058.7,1008363,Riviera Resources 305 Michigan Basin Production Segment,0.018,2018,144470.94,1000SCF,field_process_gas,COMB_compressor-driver
3.23E+00,79751.1,1011531,WildFire Energy Operating LLC,0.647,2018,1044.54905,1000SCF,diesel,COMB_engine>1MMBTU/hr
2.39,1048.5,1011308,Rex Energy Corporation Appalachian Basin Eastern Overthrust (160A) Operations,0.002,2016,19430.55,1000SCF,field_process_gas,COMB_compressor-driver
4.25,4896.6,1008141,Oxy Permian Basin - 430,0.00E+00,2020,63146.3,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
0.00E+00,0.00E+00,1006564,Greylock Energy,0.00E+00,2022,0,1000SCF,diesel,COMB_compressor-driver
0.07,3789.8,1011596,"Wapiti Operating, LLC 575 Uinta Basin",0.007,2018,68727.12,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
1.96,1662.9,1008348,Trendwell Energy Corporation,0.002,2021,29765,1000SCF,field_process_gas,COMB_compressor-driver
291.35,394457.3,1000355,(540) Civitas Resources - Denver Basin,0.577,2023,4669069.223,1000SCF,field_process_gas,COMB_compressor-driver
9.16,9247,1008293,Marathon Oil EF - Gulf Coast Basin (AAPG Basin Number 220),0.016,2015,128904.2,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
0.71,791.6,1008396,"EOG Resources, Inc. 515 Powder River basin",0.001,2017,10395.29,1000SCF,field_process_gas,COMB_compressor-driver
0.01,585.5,1008449,Permian Basin - AAPG Province 430,0.001,2016,10754.74,1000SCF,natural_gas_nonPQ,COMB_compressor-driver
0.08,1601.9,1009830,Northwoods Energy (Basin 515) Powder River Basin,0.02,2017,37.43055557,1000SCF,propane,COMB_boiler>5MMBTU/hr
33.1,24105,1011998,"TGNR TVL LLC - Basin 230 (Houston, TX)",0.045,2017,391456,1000SCF,field_process_gas,COMB_compressor-driver
2.06,4380.3,1008481,"Repsol Oil & Gas USA, LLC Appalachian basin (Eastern Overthrust area) - 160A",0.008,2022,80462.02,1000SCF,natural_gas_PQ,COMB_compressor-driver
47.55,48738.7,1008976,"EOG Resources, Inc. 350 South Oklahoma folded belt",0.081,2022,713475.49,1000SCF,field_process_gas,COMB_compressor-driver
32.1,35171.2,1013023,"Sundance Energy, Inc. - South Texas Basin",0.058,2018,471763.773,1000SCF,field_process_gas,COMB_compressor-driver
0.00E+00,0.00E+00,1006564,Greylock Energy,0.00E+00,2021,0,1000SCF,gasoline,COMB_compressor-driver
4.98,122703.6,1008630,BPX Operating Company,0.995,2019,1607.124786,1000SCF,diesel,COMB_engine>1MMBTU/hr
3.18,4339,1012060,White Rock Oil & Gas LLC - 230 ArkLa,0.008,2016,60220,1000SCF,field_process_gas,COMB_compressor-driver
1.6,85117.2,1009332,"Hilcorp Alaska, LLC 820 Kenai",0.16,2021,1563518.177,1000SCF,natural_gas_PQ,COMB_compressor-driver
287.02,357218,1008290,430 Permian Basin DEC,0.551,2022,4464012.195,1000SCF,field_process_gas,COMB_compressor-driver
0.14,7255.2,1009595,Enerplus Resources (USA) Corporation - Williston Basin,0.014,2023,133270.7101,1000SCF,natural_gas_PQ,COMB_engine>1MMBTU/hr
0.58,14188.7,1010294,Discovery Natural Resources LLC - 430 Permian Basin,0.115,2015,185.838698,1000SCF,diesel,COMB_engine>1MMBTU/hr
79.97,52252.1,1009584,Sabine Oil & Gas Corporation - 260 - East Texas Basin,0.116,2016,936036.66,1000SCF,field_process_gas,COMB_compressor-driver
3.01,74093.1,1008836,Energen Resources Corporation 430 Permian Basin,0.601,2015,970.4424969,1000SCF,diesel,COMB_engine>1MMBTU/hr
3.2,2651.1,1008289,420 Fort Worth Syncline BKV - Production,0.005,2018,40870.15,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
0.33,8220,1012909,"Pinedale Energy Partners Operating, LLC 535 Green River Basin",0.067,2019,107.6620417,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.04,892.5,1013728,"PetroShale (US), Inc.",0.009,2019,20.85416667,1000SCF,propane,COMB_engine>1MMBTU/hr
1.56,82927.9,1013306,"HG Energy II Appalachia, LLC.",0.156,2023,1523301.4,1000SCF,natural_gas_PQ,COMB_compressor-driver
0.36,19180.2,1009862,"Amplify Energy Operating LLC 220 Gulf Coast Basin (LA, TX)",0.036,2020,352321.05,1000SCF,field_process_gas,COMB_compressor-driver
0.12,2889.5,1013390,Triad Hunter,0.024,2019,37.93705395,1000SCF,diesel,COMB_engine>1MMBTU/hr
1.16,2031,1010621,TGNR Gulf Coast LLC and TGNR East Texas LLC,0.002,2016,12985.13,1000SCF,field_process_gas,COMB_compressor-driver
118.56,85974.4,1000435,Merit Energy Co. South Texas 220 Gulf Coast Basin,0.174,2016,1405143.149,1000SCF,field_process_gas,COMB_compressor-driver
0.14,7395.3,1008401,"SWEPI LP (Shell), Appalachian Basin (Eastern Overthrust Area) 160A",0.014,2018,135.84,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
1.57,4535.2,1012059,SHD Oil & Gas Williston (395) Basin,0.008,2022,41405,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
0.00E+00,0.00E+00,1008165,Berry Petroleum Company 585 Piceance Basin Production Segment,0.00E+00,2015,0,1000SCF,gasoline,COMB_boiler>5MMBTU/hr
0.02,1107.9,1008170,Dominion Energy Wexpro - Central Western Overthrust (Prod),0.002,2017,20351,1000SCF,natural_gas_PQ,COMB_compressor-driver
1.56,2124.2,1008275,XTO Energy Inc 395 Williston,0.004,2017,26260.53,1000SCF,field_process_gas,COMB_compressor-driver
0.05,30.2,1008405,California Resources Production Corporation  Sacramento Valley Basin 730,0.00E+00,2017,690.12,1000SCF,field_process_gas,COMB_compressor-driver
0.14,7278.8,1008523,"Chesapeake Appalachia LLC, 160A - Appalachian Basin (Eastern Overthrust Area)",0.014,2016,133704.0966,1000SCF,natural_gas_nonPQ,COMB_compressor-driver
0.16,8701.5,1009731,Verdad Resources LLC - DJ Basin,0.016,2021,159838,1000SCF,natural_gas_PQ,COMB_engine>1MMBTU/hr
0.01,1.1,1010673,Paradox Upstream LLC 585 Paradox Basin,0.00E+00,2017,15.4,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
54.8,58600.8,1008087,Bayswater Exploration & Production Denver Basin (540) Operations,0.098,2020,791718.9959,1000SCF,field_process_gas,COMB_compressor-driver
0.58,30634.9,1010117,Core Energy Otsego County EOR Operations,0.058,2022,562732,1000SCF,natural_gas_nonPQ,COMB_compressor-driver
0.00E+00,0.00E+00,1009830,Northwoods Energy (Basin 515) Powder River Basin,0.00E+00,2016,0,1000SCF,diesel,COMB_engine>1MMBTU/hr
1.24,935.5,1010319,ROCKIES BUSINESS UNIT-BASIN 507,0.002,2020,15075,1000SCF,field_process_gas,COMB_compressor-driver
36.57,47395.8,1008275,XTO Energy Inc 395 Williston,0.084,2018,596985.0474,1000SCF,field_process_gas,COMB_compressor-driver
0.01,17.4,1013021,"Petro-Hunt Dakota, L.L.C.",0.00E+00,2020,225.79,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
0.26,13531.8,1013414,"Columbus Energy 220 Gulf Coast Basin (LA,TX)",0.026,2018,248565.9446,1000SCF,field_process_gas,COMB_compressor-driver
0.04,1017.4,1008534,Eni US Operating Co. Inc. - Nikaitchuq & Oooguruk Development,0.008,2020,13.32613334,1000SCF,diesel,COMB_boiler>5MMBTU/hr
113.88,109992.5,1012129,Callon Permian Basin Operations,0.19,2023,1536459.372,1000SCF,field_process_gas,COMB_compressor-driver
0.00E+00,1.80E+02,1008474,"MMGK Arkoma, LLC - ARKOMA Basin",0.012,2015,6.32,1000SCF,natural_gas_nonPQ,COMB_compressor-driver
4.00E-02,777.4,1013407,Birch Resources,0.008,2022,18.30564046,1000SCF,LPG,COMB_engine>1MMBTU/hr
0.00E+00,0.00E+00,1011420,Riviera Resources 575 Uinta Basin Production Segment,0.00E+00,2015,0,1000SCF,diesel,COMB_boiler>5MMBTU/hr
5.19,128023.1,1010233,EQT Production - Basin 160A - Appalachian Eastern Overthrust,1.039,2016,1676.79887,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.00E+00,10.3,1008244,Unit Petroleum 145 Chautauqua Platform Basin,0.00E+00,2016,0.13475,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.2,273.2,1008396,"EOG Resources, Inc. 515 Powder River basin",0.00E+00,2015,3288,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
0.00E+00,47.2,1008244,Unit Petroleum 145 Chautauqua Platform Basin,0.00E+00,2016,865.15,1000SCF,field_process_gas,COMB_compressor-driver
0.29,7104.2,1000355,(540) Civitas Resources - Denver Basin,0.058,2019,93.04794968,1000SCF,diesel,COMB_engine>1MMBTU/hr
1.82E+00,9.67E+04,1009434,Diamondback E&P LLC,0.182,2020,1775610.378,1000SCF,natural_gas_PQ,COMB_engine>1MMBTU/hr
0.17,4151.9,1008275,XTO Energy Inc 395 Williston,0.033,2023,0.048239965,1000SCF,diesel,COMB_engine>1MMBTU/hr
1.60E-01,8592.6,1008407,Ovintiv USA Inc. 575.Uinta,0.016,2018,157837.5405,1000SCF,natural_gas_nonPQ,COMB_compressor-driver
0.13,3131.6,1013021,"Petro-Hunt Dakota, L.L.C.",0.025,2017,41.01690532,1000SCF,diesel,COMB_engine>1MMBTU/hr
2.31,56981.6,1008202,Denver Basin - AAPG Province 540,0.46,2020,746.3235697,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.01,357.2,1008199,Grizzly Arkoma Basin,0.001,2020,6600.75,1000SCF,natural_gas_PQ,COMB_compressor-driver
6.46,3707.3,1009511,"Alta Mesa Services, LP",0.011,2016,89503.62,1000SCF,field_process_gas,COMB_compressor-driver
0.00E+00,219.8,1007484,San Juan Basin (580),0.00E+00,2018,4036.75,1000SCF,natural_gas_PQ,COMB_engine>1MMBTU/hr
6.11,3604.5,1013706,"HRM Resources III, LLC",0.008,2021,66811.92,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
5.09,2790.4,1012511,Aethon Energy Operating-260-East Texas Basin,0.007,2023,53275.21,1000SCF,field_process_gas,COMB_compressor-driver
0.67,16440.8,1008402,California Resources Production Corporation  San Joaquin Valley Basin 745,0.133,2019,215.3357858,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.62,33092.2,1011690,Permian Resources Corporation,0.062,2018,607871.278,1000SCF,field_process_gas,COMB_compressor-driver
0.04,2037.7,1011223,Petro Harvester Operating Company LLC - Gulf Coast Basin (Basin 220),0.004,2021,37430.14,1000SCF,natural_gas_PQ,COMB_compressor-driver
0.39,20865.7,1006770,TPIC Basin 220,0.039,2022,383281.0573,1000SCF,natural_gas_PQ,COMB_engine>1MMBTU/hr
0.59,31429.9,1000355,(540) Civitas Resources - Denver Basin,0.059,2022,577771.7587,1000SCF,natural_gas_PQ,COMB_engine>1MMBTU/hr
1.22E+00,64884.8,1012028,"Trinity Rivery Energy Operating, LLC 210 MidGulf Coast Basin",0.122,2015,1191868.012,1000SCF,natural_gas_nonPQ,COMB_compressor-driver
1.47,36123.4,1013106,Surge Energy 430 Permian Basin,0.293,2017,473.1309116,1000SCF,diesel,COMB_engine>1MMBTU/hr
23.98,27210.3,1009115,Ovintiv USA Inc. 355.Chautauqua Platform,0.045,2021,365740.2,1000SCF,field_process_gas,COMB_compressor-driver
22.69,21162.6,1008407,Ovintiv USA Inc. 575.Uinta,0.037,2023,805202.047,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
18.98,467843,1009707,COG Operating LLC  430 Permian Basin,3.795,2018,6127.627651,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.00E+00,81.8,1008998,Henry Resources LLC,0.00E+00,2018,1488.76,1000SCF,field_process_gas,COMB_compressor-driver
2.94,2676.5,1008352,"EOG Resources, Inc. 360 Anadarko basin",0.005,2019,38894.28,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
0.1,2488.2,1008383,Marathon Oil So. Oklahoma Folded Belt (AAPG 350),0.02,2020,32.58971529,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.07,1790.4,1011531,"Hawkwood Energy Management, LLC 220 Gulf Coast Basin",0.015,2016,23.44944098,1000SCF,diesel,COMB_engine>1MMBTU/hr
258.84,225618.4,1008111,ConocoPhillips Alaska Inc - KRU-ALP Fields,0.411,2023,3327622.72,1000SCF,field_process_gas,COMB_boiler>5MMBTU/hr
0.00E+00,0.00E+00,1008165,Berry Petroleum Company 585 Piceance Basin Production Segment,0.00E+00,2015,0,1000SCF,diesel,COMB_compressor-driver
0.00E+00,0.00E+00,1010396,Riviera Resources 260 East Texas Basin Production Segment,0.00E+00,2018,0,1000SCF,natural_gas_nonPQ,COMB_boiler>5MMBTU/hr
2.52,416.4,1011308,Rex Energy Corporation Appalachian Basin Eastern Overthrust (160A) Operations,0.001,2017,7712.39,1000SCF,field_process_gas,COMB_compressor-driver
0.01,694.6,1008673,"EXCO Resources (PA), LLC - Basin 160A",0.001,2016,12759.82,1000SCF,natural_gas_nonPQ,COMB_compressor-driver
0.04,951.4,1013699,"Sabinal Energy Operating, LLC - Permian Basin",0.008,2023,12.46130035,1000SCF,diesel,COMB_engine>1MMBTU/hr
88.2,73728,1014339,Crowheart Energy Green River (535) Basin,0.133,2022,1117928.355,1000SCF,field_process_gas,COMB_compressor-driver
0.01,298.2,1008401,"SWEPI LP (Shell), Appalachian Basin (Eastern Overthrust Area) 160A",0.001,2018,5.48,1000SCF,field_process_gas,COMB_boiler>5MMBTU/hr
0.03,1583,1008355,"TEP Rocky Mountain, LLC - 595 Piceance basin",0.003,2019,24157,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
0.02,477.8,1008980,"EOG Resources, Inc. 395 Williston basin",0.004,2023,6.273619117,1000SCF,diesel,COMB_compressor-driver
92.52,61024,1008587,Valence Operating Co 260 East Texas Basin,0.134,2015,1081840.494,1000SCF,field_process_gas,COMB_compressor-driver
0.01,345.1,1008202,Denver Basin - AAPG Province 540,0.003,2022,4.5195658,1000SCF,diesel,COMB_compressor-driver
0.42,10262.2,1009286,PDC Energy 540 Denver Basin,0.083,2019,134.4101841,1000SCF,diesel,COMB_boiler>5MMBTU/hr
0.05,2796.3,1009332,"Hilcorp Alaska, LLC 820 Kenai",0.005,2020,51365.5,1000SCF,natural_gas_PQ,COMB_boiler>5MMBTU/hr
0.00E+00,0.00E+00,1010396,Riviera Resources 260 East Texas Basin Production Segment,0.00E+00,2018,0,1000SCF,natural_gas_nonPQ,COMB_compressor-driver
548.96,151813.4,1008270,Basin 540 Denver Julesburg - Noble Energy Inc.,0.249,2016,2019206.06,1000SCF,field_process_gas,COMB_compressor-driver
0.17,4277.8,1008885,"Tellus Operating Group, LLC - MS Operations",0.035,2016,55.2283837,1000SCF,diesel,COMB_engine>1MMBTU/hr
4.64,2859,1011421,Riviera Resources 220 Gulf Coast Basin Production Segment,0.006,2016,51618.23,1000SCF,field_process_gas,COMB_compressor-driver
5.99,5100.8,1008348,Trendwell Energy Corporation,0.008,2021,88130,1000SCF,field_process_gas,COMB_compressor-driver
59.25,57372.4,1008700,COTERRA ENERGY - 430 - PERMIAN BASIN,0.085,2018,824700.7,1000SCF,field_process_gas,COMB_compressor-driver
4.80E-01,25275,1012984,"Southern Energy Operating, LLC MidGulf Coast Basin",0.048,2020,476346.9438,1000SCF,field_process_gas,COMB_compressor-driver
0.01,161.2,1008167,Berry Petroleum Company - Uinta Basin 575,0.001,2023,2.110949653,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.00E+00,43.9,1011873,"Lime Rock Resources III-A, Williston Basin",0.00E+00,2021,0.576296875,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.01,282.6,1009890,"Comstock Oil & Gas-LA, LLC",0.001,2023,5191.11,1000SCF,natural_gas_PQ,COMB_compressor-driver
0.03,665.2,1008622,535 Green River Basin - BP America Production Company,0.005,2018,8.711961808,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.00E+00,0.00E+00,1009386,XTO Energy Inc 220 Gulf Coast,0.00E+00,2019,0,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
0.00E+00,0.00E+00,1013346,"Urban Oil & Gas Group, LLC- Arkla Basin (230)",0.00E+00,2022,0,1000SCF,natural_gas_PQ,COMB_engine>1MMBTU/hr
1.00E-01,2.43E+03,1008051,"Range Resources - Appalachia, LLC - Basin 160A",0.02,2015,31.78402258,1000SCF,diesel,COMB_boiler>5MMBTU/hr
77.95,70218.7,1012528,Scout Energy Anadarko Basin Production,0.145,2022,1171302.467,1000SCF,field_process_gas,COMB_compressor-driver
0.28,6832,1013833,Mewbourne Oil Company - Anadarko Basin 360,0.055,2016,89.4824219,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.74,39029.5,1014349,Forge Energy II,0.074,2021,716932,1000SCF,field_process_gas,COMB_compressor-driver
0.31,7531.9,1008052,DJR Operating - San Juan Basin Oil and Gas Production,0.061,2021,98.64996705,1000SCF,diesel,COMB_engine>1MMBTU/hr
3.40E-01,8.27E+03,1013948,Teal Natural Resources 220 Gulf Coast Basin,0.067,2018,108.3407379,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.21,11389.6,1008526,"Chesapeake Operating LLC, 220 - Gulf Coast Basin",0.021,2020,214656,1000SCF,natural_gas_PQ,COMB_boiler>5MMBTU/hr
1.93,47512.1,1013155,Callon (Permian) LLC - Basin 430,0.39,2017,622.2956967,1000SCF,diesel,COMB_engine>1MMBTU/hr
1.4,34627.5,1008783,CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,0.281,2022,453.5379656,1000SCF,diesel,COMB_engine>1MMBTU/hr
1.65E+00,2751.6,1010621,TGNR Gulf Coast LLC and TGNR East Texas LLC,0.002,2016,18065.23,1000SCF,field_process_gas,COMB_compressor-driver
1.00E-02,4.17E+02,1007484,San Juan Basin (580),0.001,2020,7656.04,1000SCF,natural_gas_PQ,COMB_engine>1MMBTU/hr
6.48E+00,3711.1,1010621,TGNR East Texas Basin,0.009,2020,70382.9,1000SCF,field_process_gas,COMB_compressor-driver
6.24,7058.1,1008299,"LAMBDA ENERGY RESOURCES, LLC-Michigan Basin",0.011,2017,89274.7,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
0.98,1006.7,1009286,PDC Energy 540 Denver Basin,0.002,2018,13834.7,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
0.00E+00,70.4,1008355,"TEP Rocky Mountain, LLC - 595 Piceance basin",0.001,2018,0.922395834,1000SCF,diesel,COMB_boiler>5MMBTU/hr
0.1,4160,1011091,Foundation Energy Management 360 Anadarko Basin,0.008,2022,76414.15,1000SCF,field_process_gas,COMB_compressor-driver
0.28,509.9,1009106,Slawson Exploration - Williston Basin 395,0.001,2020,5492.8,1000SCF,field_process_gas,COMB_engine>1MMBTU/hr
0.49,569.5,1009357,Finley Resources Inc - Uintah Basin (575),0.001,2023,7212.05,1000SCF,field_process_gas,COMB_compressor-driver
0.23,5559.2,1011616,"Warren E&P, Inc.",0.045,2015,72.81272398,1000SCF,diesel,COMB_engine>1MMBTU/hr
0.86,21174.1,1013983,Advance Energy Partners - Basin 430,0.172,2021,277.330205,1000SCF,diesel,COMB_engine>1MMBTU/hr
